"HUNDENAME","GEBURTSJAHR_HUND","GESCHLECHT_HUND"
"Ituma",2011,"w"
"""Bo"" Bendy of Treegarden",2020,"m"
"""Bobby"" Lord Sinclair",2009,"m"
"""Buddy"" Fortheringhay's J.",2011,"m"
"""Fly"" Showring i fly for you",2015,"w"
"""Pino"" Ami du soleil",2010,"m"
"""Zappalla II"" Kora v. Tüfibach",2011,"w"
"A great Dream Kajsa of Moss-La",2019,"w"
"A-Diana",2006,"w"
"AISHA von der Mark",2020,"w"
"AMBROFELLIS  VIVIAN",2020,"w"
"Aaliyah",2011,"w"
"Aaliyah",2015,"w"
"Aaran vom Blauort",2010,"m"
"Aaron",2005,"m"
"Aaron",2011,"m"
"Aaron",2020,"m"
"Aaron",2020,"m"
"Abba",2011,"w"
"Abby",2019,"w"
"Abby",2014,"w"
"Abby",2010,"w"
"Abby (Abbygail)",2013,"w"
"Abel",2020,"m"
"Abenaki Dakil",2016,"m"
"Abraxa",2007,"w"
"Abygail",2018,"w"
"Ace",2020,"m"
"Ace",2020,"m"
"Ace",2014,"m"
"Ace (Sid)",2017,"m"
"Ace of Minto",2019,"m"
"Achie",2019,"m"
"Achilles",2011,"m"
"Achilles de Biaska",2016,"m"
"Achita",2020,"m"
"Acoma",2014,"w"
"Ada",2017,"w"
"Ada",2016,"w"
"Ada",2017,"w"
"Adam",2015,"m"
"Addison",2009,"w"
"Aden",2017,"m"
"Aden",2015,"m"
"Ades",2019,"m"
"Adia Adlerstein",2008,"w"
"Adonis",2013,"m"
"Adria",2014,"w"
"Aegir (Caronte)",2010,"m"
"Aengel",2006,"w"
"African Mashumba Akida",2016,"m"
"Agata",2005,"w"
"Agatha",2018,"w"
"Ahyoka",2019,"w"
"Aicha",2019,"w"
"Aida",2009,"w"
"Aida Sarastro",2005,"w"
"Aida-Zora",2011,"w"
"Aika",2020,"w"
"Aika",2019,"w"
"Aika",2018,"w"
"Aiko",2015,"m"
"Aiko",2016,"m"
"Aiko",2016,"w"
"Aiko",2020,"m"
"Aiko",2009,"m"
"Aiko",2010,"m"
"Aiko",2014,"m"
"Aiko",2018,"m"
"Aila",2020,"w"
"Aila",2008,"w"
"Ailo von der Maburg",2019,"m"
"Ailou vom Schwaneby",2016,"m"
"Aimo von der Glücksquelle",2012,"m"
"Aimée",2018,"w"
"Aino Delta",2018,"w"
"Aio",2017,"w"
"Air",2016,"m"
